"","X1","X2","MeanDecreaseAccuracy","MeanDecreaseGini"
"Moraxellaceae",-2.77612682389639,-4.00449539971341,-4.74422176109394,0.199448040764138
"Pseudomonadaceae",-1.18112903559328,-0.520644471118652,-1.1888108878088,0.226823497019828
"Enterobacteriaceae",-3.61571608325638,-2.53109567073061,-3.69747399568672,0.187550922355055
"Erwiniaceae",-0.121751685898427,-1.8675408468432,-1.12505617920988,0.178518201018555
"Morganellaceae",-1.05478463647052,-0.307815527976343,-0.743783130682904,0.184250960138415
"Yersiniaceae",0.75139200560551,-1.23643694109096,-0.282454469816826,0.179898837864563
"Pectobacteriaceae",1.26388015059719,0.432867151892471,0.946417460049341,0.153066558462896
"Hafniaceae",-2.52924414529942,-0.734821496917412,-2.43750657470747,0.107883557915997
"Budviciaceae",0.0702020395417187,-0.595842692388781,-0.370731087530803,0.0880053224614222
"Legionellaceae",-0.281092832161906,-0.915552953245297,-0.530147851219646,0.180072907337608
"Coxiellaceae",1.20635071945206,-1.04469877838282,0.113262530235532,0.0829237856102642
"Alteromonadaceae",-0.656098933575643,-2.9801052012398,-2.13018850373314,0.202046084894642
"Pseudoalteromonadaceae",1.37802385172112,-0.213193567177443,1.13904467561191,0.20022273145279
"Shewanellaceae",-0.997573349673694,-1.10529681349066,-1.364118428893,0.197529295325497
"Colwelliaceae",2.18601515248929,-0.413526657835153,1.26085198889122,0.0993523852156595
"Xanthomonadaceae",1.44161342188554,-1.80410399633258,-0.222340289565455,0.194946976989853
"Vibrionaceae",-0.801846197402358,-0.372260155713599,-0.448862989628829,0.21371860194358
"Aeromonadaceae",-0.576937169874664,-1.2935455722511,-1.08676058684659,0.179404305923943
"Alcanivoracaceae",0.461509650656464,-0.728119082036547,-0.112132895398814,0.0863906367820428
"Halomonadaceae",1.12530028448003,-0.815949216841781,0.0842659575777689,0.169583201895956
"Saccharospirillaceae",0.856176216709916,-1.48597009866568,-0.284271657514424,0.0930391539000496
"Oceanospirillaceae",-2.45106126200453,-1.12238715981115,-2.201531677292,0.145402104117327
"Cellvibrionaceae",-2.14541846552707,-3.58888312188828,-3.68130432382414,0.160706657673929
"Halieaceae",-2.88052375214025,-2.88858492037539,-3.56050439273244,0.085401646019741
"Spongiibacteraceae",-1.25885111891739,-1.47547448623083,-1.57367713309773,0.0817529040388319
"Francisellaceae",1.36054318408016,-0.742748740783926,0.405731651345121,0.133087107707803
"Piscirickettsiaceae",3.95664862648124,-1.1098662656774,2.17949468390975,0.191130547686297
"Chromatiaceae",4.16807716009699,0.103633371480636,2.82551651214713,0.162949786105495
"Ectothiorhodospiraceae",0.517325827230011,-2.37430085371282,-1.09754644301367,0.130359135456277
"Halothiobacillaceae",-1.34037167132621,-1.43731181451005,-1.80556329894878,0.0598126678297542
"Acidiferrobacteraceae",1.22358075524707,-2.59600305010461,-0.902872337516712,0.0396620540913116
"Pasteurellaceae",-3.86058130690022,-1.84195200808844,-3.61545985595185,0.20511531666474
"Candidatus.Paracaedibacteraceae",-1.15829386188343,-1.75956168091469,-1.92623257761525,0.117994120681298
"Caedimonadaceae",-1.40356925328693,-1.92841526715122,-1.99146886852138,0.00671382154010642
"Pelagibacteraceae",-0.317564368104161,-0.168439181857972,-0.189043069062661,0.123885940491941
"Rhizobiaceae",4.1924056030973,-1.18621800239652,2.23106359444546,0.220175010443256
"Bradyrhizobiaceae",2.7280417698691,-2.63332847371063,0.549220102518315,0.202709785301401
"Methylobacteriaceae",3.32436182701124,-2.68207743595557,0.369806582768982,0.144302810448183
"Phyllobacteriaceae",4.55438601958946,-2.28614342261901,1.88198515631673,0.159083126123986
"Xanthobacteraceae",2.17330302655983,-0.661363998871405,1.12694113905088,0.0736193864068374
"Hyphomicrobiaceae",4.71882681599242,0.0544853289639399,3.48158485672003,0.139231678346428
"Beijerinckiaceae",2.13567028233081,1.21772638933091,2.11372996837433,0.0581861303439717
"Brucellaceae",3.05964826278704,-0.189843737067159,1.97690475224939,0.100276623263141
"Aurantimonadaceae",-1.85639591151566,-1.05417387711826,-2.15555516623263,0.080342930360713
"Chelatococcaceae",0.00275227347289688,-0.123680868144123,0.00021804838258535,0.0703304215393367
"Rhodobacteraceae",1.63047465649072,-1.93523806911865,0.0669806172147642,0.190765936733623
"Acetobacteraceae",-0.967000189976111,-0.313984773546089,-0.637532065917347,0.159638735731548
"Rhodospirillaceae",1.96069090723203,-2.58197725326375,-0.616809669561186,0.182940602632871
"Sphingomonadaceae",0.659900723610877,-0.29580864077146,0.237242187109269,0.199458103157929
"Erythrobacteraceae",-0.58799413417378,-1.43570489073828,-1.35576106116136,0.172516296926857
"Caulobacteraceae",-0.430149479991716,-1.13234801249081,-0.993150525077338,0.152060784206954
"Rickettsiaceae",-0.506116661752639,-2.31010480862311,-1.60517330124462,0.0914355906555777
"Anaplasmataceae",3.21931280801372,-1.48520768273404,1.61069920504143,0.130772969870747
"Burkholderiaceae",-0.598757446967966,-0.364320168003212,-0.271575729455991,0.204578312486083
"Alcaligenaceae",0.0222901367299973,-2.46623979081336,-1.61627542429174,0.224447390411747
"Oxalobacteraceae",0.687304514539829,0.295938350817374,0.528446436467249,0.169310961566232
"Comamonadaceae",0.808896265461144,-1.41871013775435,-0.437624576388548,0.199348432485594
"Neisseriaceae",-2.16325365858336,-2.73097361301731,-3.06034363917774,0.136903478941087
"Zoogloeaceae",1.98636902826078,-1.88938233612437,0.369426135133349,0.114992354508843
"Azonexaceae",-0.390320077383739,-1.11944073950629,-0.8400396751911,0.0507447721199453
"Nitrosomonadaceae",0.0509090702754277,-2.41432918109465,-1.2734072147142,0.159442397686005
"Archangiaceae",0.999240065107932,-1.48322700371285,-0.367560950134448,0.108482439580257
"Anaeromyxobacteraceae",3.3484940232461,-0.696164707858773,1.81935559104146,0.0757232593518419
"Polyangiaceae",1.94151543940508,-2.63615425119218,-0.725815939227464,0.11543543519171
"Geobacteraceae",1.18225483974271,-0.984423738485407,-0.0576530014345029,0.140267641325581
"Desulfovibrionaceae",-1.40915544017391,-1.99968980000106,-2.21557568650708,0.113289623746886
"Desulfomicrobiaceae",-0.930203533415537,-0.287431364128694,-0.70245374708337,0.0209757991769802
"Desulfobacteraceae",0.69690738394125,-2.87438678616505,-1.88005294265069,0.125498195266375
"Desulfobulbaceae",0.306874257875047,-1.22187906938356,-0.405148144884239,0.0654150344202963
"Syntrophaceae",0.586783732668111,-1.28025492258694,-0.39162250419335,0.0464268016462665
"Desulfurellaceae",0.993146122412704,-1.93957439912595,-0.577113574331514,0.0279856627667228
"Campylobacteraceae",2.32962893808793,-1.34268749819543,0.830557810807489,0.193497860700257
"Helicobacteraceae",2.60587117499806,0.234500429738563,2.0224383021819,0.152853976613118
"Bdellovibrionaceae",-0.856292479832747,0.835178992133898,0.0815861244281176,0.0705974905261082
"Acidithiobacillaceae",-2.2455875030554,-1.74947026382977,-2.42807397424596,0.0481902864730946
"Bacillaceae",-0.226137649539312,-2.36718160575625,-1.4831049418778,0.217566826648017
"Staphylococcaceae",-1.77501349590208,-0.941953558524461,-1.82496453660382,0.195225754188865
"Paenibacillaceae",5.49580679568871,-1.26208967626009,2.9272152893615,0.218734059416413
"Alicyclobacillaceae",-0.527377893885941,-1.47225739099687,-1.16474165508338,0.0762755435875419
"Planococcaceae",5.32064180934529,-1.11178060604756,3.51330606232502,0.164846251701282
"Listeriaceae",-1.58944016797859,-3.0875381842851,-2.91814130083998,0.109181851963563
"Streptococcaceae",-1.24495260113832,-1.32689877602332,-1.78117038807518,0.224032019548941
"Lactobacillaceae",1.41440143357261,-1.54818968457496,-0.0136086531498621,0.189833576801174
"Enterococcaceae",1.22173442974603,-1.31046546657,0.171303884311346,0.145826726595982
"Leuconostocaceae",1.96951394458403,-0.964689471350624,0.717946115663287,0.123553957342912
"Aerococcaceae",-0.616809778856395,-0.66279817170483,-0.732449741415453,0.0734270499089283
"Clostridiaceae",0.599496325142576,-2.75932483550415,-1.28033540396659,0.185999624809092
"Lachnospiraceae",1.2554285718665,-2.86486054592282,-1.12305525498381,0.187047541570135
"Ruminococcaceae",1.39260969743278,0.133011049688813,1.18979665914432,0.18612185924979
"Eubacteriaceae",0.609399712039408,-2.15477029038703,-1.33038963840991,0.0847991455980331
"Peptococcaceae",2.60994131567768,-0.536719137481884,1.56407183141592,0.15065164377821
"Symbiobacteriaceae",2.06162275610832,-1.67144775043727,0.144264395981664,0.0420911031227976
"Thermoanaerobacteraceae",-1.20743951742435,-0.0311395352892333,-0.842885348357088,0.108436518096975
"Thermoanaerobacterales.Family.III..Incertae.Sedis",0.728522719972751,-1.56351863047921,-0.189510979174691,0.138620286609792
"Halanaerobiaceae",-0.977264243531826,-2.66380261336925,-2.6471655064455,0.0579359487672064
"Veillonellaceae",-0.244596415319761,-1.50611917165268,-1.32744113742012,0.0723272769509806
"Sporomusaceae",0.631251258854653,-0.958411875344193,-0.117096098846763,0.0525022516773087
"Acidaminococcaceae",0.441088308591503,0.0604172676626008,0.450198077597611,0.0277687896093403
"Erysipelotrichaceae",0.873500057444162,0.144153569368043,0.763191832375295,0.0922486941531592
"Streptomycetaceae",3.37242590108492,-1.5733267600353,1.40501511355927,0.192742051273907
"Mycobacteriaceae",3.67731438506879,-2.32371099628724,1.46097150813825,0.205560310117034
"Nocardiaceae",2.78535947633491,-1.70915290575459,0.91813205498045,0.181779535254753
"Corynebacteriaceae",3.5429233997991,-0.99771211102641,1.48013643040607,0.175782701635556
"Gordoniaceae",4.12472171454925,-1.17658172709787,2.83686300164119,0.0990305100133729
"Micrococcaceae",-1.02635624122691,-1.42495380937194,-1.47118114471396,0.187665515758774
"Microbacteriaceae",2.28083379558482,-0.562265445477242,1.16374362962845,0.159633296445812
"Brevibacteriaceae",1.26009721022895,-0.708654073024827,0.235333031452798,0.0747479078514848
"Intrasporangiaceae",2.16730824194775,0.183573609931492,1.36039525882305,0.0589904102319727
"Dermacoccaceae",1.91364767239547,-0.831095340135664,0.75183070680932,0.0354020165006606
"Pseudonocardiaceae",4.02303354446533,-2.22254154784925,1.4288989218705,0.183683128677121
"Propionibacteriaceae",-0.419420982095963,-3.10257471943835,-2.22503000223162,0.180459797396192
"Nocardioidaceae",1.02461621197873,0.518823757246363,1.09242400900831,0.139878968591684
"Micromonosporaceae",4.33028095024764,-0.873108282890977,2.81969479600143,0.156619599417595
"Nocardiopsaceae",-1.61073489198622,-1.3475962311859,-2.01420264392129,0.0784876666201765
"Actinomycetaceae",0.916950391510228,-1.49527417663061,-0.240055796118453,0.101013055184209
"Jiangellaceae",1.99418059586677,-2.33066191424039,-0.0568768757935986,0.0952107186928693
"Frankiaceae",3.48912708850994,-2.32391034591284,0.722493305040605,0.131793585318637
"Bifidobacteriaceae",2.07755879274713,-1.24988345209526,0.685390725909242,0.123618073347484
"Kineosporiaceae",2.26195735011267,1.15083332259483,2.03224919957154,0.0208524009863479
"Geodermatophilaceae",1.09404191645943,-0.0700179917971351,0.912874371934647,0.0797664349784324
"Atopobiaceae",0.979629181240191,-1.16734717191494,-0.173748569656879,0.0990508567958687
"Conexibacteraceae",2.57649882789583,0.488949057327308,2.08967946147377,0.0419215740458275
"Rivulariaceae",2.47194608348963,-1.15928281885908,0.54413469500364,0.210956790736883
"Nostocaceae",0.821496177836016,-1.78056108375548,-0.457650067129491,0.200157777386089
"Hapalosiphonaceae",-2.49734338604288,-1.5776534455212,-2.79988856947188,0.0626320814856192
"Aphanizomenonaceae",-0.610881405253646,-2.33006183635448,-2.05371666319043,0.0783204335255368
"Acaryochloridaceae",-0.840224782077989,1.2425377488504,0.388573222700528,0.0543126012881503
"Prochloraceae",-0.0470524227382715,-0.589696710713625,-0.444437470906959,0.165295064072153
"Synechococcaceae",0.0122591570411668,-2.07021323065617,-1.57763246243435,0.149220155566384
"Leptolyngbyaceae",2.03243530967552,-0.978395072946626,0.839006231590696,0.0978473041228564
"Chroococcaceae",0.274703836329895,0.525104794893397,0.593414720488151,0.159358528464156
"Cyanothecaceae",0.445819420390443,-0.809809787462971,-0.184949850107309,0.114583271395521
"Oscillatoriaceae",3.96498763480486,0.761017184693108,3.21581841678607,0.138859260513154
"Hyellaceae",-1.75741454339115,-1.31969666323345,-1.93079344725335,0.0282299354832377
"Spiroplasmataceae",1.11805694698763,-0.679274228563477,0.293820759885783,0.134599033164003
"Entomoplasmataceae",0.988452135909268,-1.45209654221639,-0.404169254183392,0.142618501632444
"Mycoplasmataceae",0.131063598318042,-2.23179606667346,-1.1647804032209,0.169128250764878
"Acholeplasmataceae",1.50316444657196,0.477256469797951,1.27281690217696,0.0918490238230391
"Deinococcaceae",-0.0379815935355769,-1.75914285721205,-1.08728562546744,0.125685054387816
"Thermaceae",3.76187837635018,0.0538074765047127,2.84036200668766,0.100428936802867
"Ardenticatenaceae",2.32100813151432,-1.47277334223532,0.713293934462967,0.060795349758052
"Flavobacteriaceae",-1.87998913642993,0.14010382341083,-1.30549406295944,0.21336157579414
"Ichthyobacteriaceae",-0.559868018483676,-1.85214456087685,-1.72005493456079,0.0632907771113245
"Tannerellaceae",-1.18294334025182,-3.52824570038994,-2.73477340304724,0.0742555374146406
"Porphyromonadaceae",-0.895500374026184,-0.640998894837284,-0.754582194461592,0.0826629513991498
"Prevotellaceae",0.863543027758438,0.264866079071693,0.865966089338847,0.127611629665751
"Bacteroidaceae",1.34208656718888,-2.38135540517182,-0.790219553762657,0.165748199548741
"Rikenellaceae",-2.8076376368331,-2.588405795438,-3.5139278823036,0.0919516719466043
"Marinifilaceae",-2.0001598056001,-3.23252201990004,-3.52020115018674,0.0325685467202881
"Cytophagaceae",-0.423403865682251,-1.98048896565196,-1.42383711714593,0.192472175276116
"Hymenobacteraceae",0.939191220086067,0.167136429250396,0.638318482420572,0.171234950537209
"Persicobacteraceae",-3.58231681539591,-0.414198431758432,-2.50366828984401,0.0656551730209627
"Sphingobacteriaceae",-1.05084097942464,-1.30740588754229,-1.28852519242868,0.172435662826481
"Chitinophagaceae",-0.463811898289961,-1.76836087195015,-1.52375728688144,0.190231223416267
"Haliscomenobacteraceae",-2.01056690639457,-0.110559543531381,-1.3597472550258,0.0611910419835655
"Leptotrichiaceae",-1.1315823455327,-0.606099552951279,-1.12283915696949,0.0933189961516004
"Fusobacteriaceae",-0.391428917863026,-0.637262200814995,-0.792148275806831,0.152494898636798
"Planctomycetaceae",2.91188526895554,-1.16479339161592,1.91706033469813,0.139774332374376
"Isosphaeraceae",0.6551558589751,-1.32232301896565,-0.181492010787784,0.07847319538518
"Candidatus.Brocadiaceae",-0.5123194787003,-1.64819265591255,-1.12847082223222,0.0334986358804045
"Opitutaceae",1.86691593884522,0.321986288061562,1.48467058824522,0.111634792367262
"Nitrospiraceae",-1.8274692338041,-2.34880144440922,-2.6298631470582,0.104749175701715
"Spirochaetaceae",0.698978634087506,-2.32044716912589,-0.995836999085216,0.150305300876875
"Borreliaceae",2.45150328053917,-0.651059680881263,1.46347513008105,0.125158843407959
"Brachyspiraceae",2.15807434061999,0.441310635750763,1.5636941697353,0.100693066028726
"Leptospiraceae",-0.712435149307134,-0.274849643885516,-0.671675473044069,0.0637035400020351
"Vicinamibacteraceae",1.43769366218533,-1.11660813670651,0.183926485867368,0.0531224900227052
"Acidobacteriaceae",4.31423396524616,0.0320608990294122,3.85566431149459,0.106346895853997
"Hydrogenothermaceae",-2.20409936587219,0.237334588961977,-1.05131004390423,0.0425154779114851
"Aquificaceae",-1.08715893712115,-0.57290127377125,-1.30925314660492,0.0488284576163489
"Calditrichaceae",0.98127214902876,0.187750967904327,0.359516841613171,0.0490962735877418
"Synergistaceae",-0.572935099647167,-3.45959131766386,-2.38679470472981,0.0983437319791687
"Deferribacteraceae",-0.823444730593366,-0.432686669964479,-0.687483886695686,0.0876217225682035
"Thermotogaceae",1.09623959961026,-2.00603047613746,-0.420321841907272,0.0828722547504697
"Nitrosopumilaceae",0.504080449561862,-2.33577451048317,-1.37281880434063,0.0919014743641495
"Sulfolobaceae",0.687354929895518,-2.09460361675137,-0.744406179989376,0.142931993233503
"Methanosarcinaceae",1.46386753914359,-2.11944513078123,-0.199891092187824,0.198436674684695
